"customMessage","You can define or override translation messages here."
"Search for items or shops", Search for items or shops
"Cart", Cart
"Sign up/Login", Sign up/Login
"Departments", Departments
"Clothing", Clothing
"Electronics", Electronics
"Home & Garden", Home & Garden
"BEST OFFERS", BEST OFFERS
"BUYERS PROTECTION", BUYERS PROTECTION
"DIFFERENT SHIPPING OPTIONS", DIFFERENT SHIPPING OPTIONS
"TRUSTWORTHY SELLERS", TRUSTWORTHY SELLERS
"Lorem ipsum has been the industry's standart dummy text ever since", Lorem ipsum has been the industry's standart dummy text ever since
